smiles,logt12
CSc1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,5.805745462209869
Cc1nn(C)c(C)c1N=Nc1ccccc1N1CCCCC1,5.635483746814912
Cn1cc(N=Nc2ccccc2)cn1,7.960011868764347
O=C1COc2ccccc2N=Nc2ccccc2OCC(=O)O[C@H]2[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](Sc3ccccc3)O[C@@H]2CO1,6.643991811890575
COc1ccncc1N=Nc1ccccc1,7.89784259993673
Cc1n[nH]c(C)c1N=Nc1ccc(Br)cc1,4.365188368127099
CCOC(=O)c1ccc(/N=N/c2c(F)cc(C(=O)OCC)cc2F)cc1,4.459392676076456
Cn1cnc(/N=N/c2ccccc2)c1,5.322311521167251
Cn1ccnc1/N=N/c1ccccc1,4.498402780222932
Cc1n[nH]c(C)c1N=Nc1ccc(Cl)cc1,5.063618540843701
N#Cc1cccc(N=Nc2cccs2)c1,4.804275767129094
Fc1c(F)c(F)c(N=Nc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,4.227949377892071
Clc1ccccc1N=Nc1nccs1,4.375846436309156
Cn1cc(N=Nc2c(F)cccc2F)cn1,9.15949199723622
Cn1nnc(N=Nc2ccccc2)n1,6.518606166311219
Fc1cccc(F)c1/N=N/c1ccccc1,4.954242246637352
COc1ccc(N=Nc2cn(C)nn2)cc1,6.166962663857167
CCOC(=O)c1cc(F)c(N=Nc2ccccc2)c(F)c1,4.4013083222177025
Cn1nc(-c2ccccc2)c(N=Nc2ccccc2N2CCCC2)c1-c1ccccc1,4.437116093048078
CC(C)c1ccncc1N=Nc1ccccc1,6.05589706708325
O=C1COc2ccccc2/N=N\c2ccccc2OCC(=O)O[C@H]2[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](Sc3ccccc3)O[C@@H]2CO1,6.644084038323907
Cn1cncc1/N=N/c1ccccc1,5.761644214997514
c1ccc(/N=N/c2cccnc2)cc1,5.9142371210552875
N#Cc1ccc(N=Nc2nccs2)cc1,3.7867514221455614
COc1cc(NC(C)=O)ccc1N=Nc1ccc(NC(C)=O)cc1OC,3.8349639057126663
Ic1ccccc1N=Nc1nccs1,4.1126050015345745
Fc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,4.228041604325403
Fc1ccccc1N=Nc1ccccc1F,4.597603373369181
FC(F)(F)c1ccc(N=Nc2cccs2)cc1,4.711638538232349
Cc1cc(C)n(C)c1N=Nc1ccccc1,4.8826383616960385
Cc1nn(C)c(C)c1/N=N/c1c(Cl)cccc1Cl,4.998840656455024
COc1ccncc1/N=N/c1ccccc1,7.897934826370062
Cc1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,6.033423755486949
Cn1cccc1/N=N/c1ccccc1,4.027912104402283
CC(C)c1ccncc1/N=N/c1ccccc1,6.055989293516582
Fc1cccc(F)c1N=Nc1c(F)cccc1F,5.519998037369928
Cc1nn(C)c(C)c1N=Nc1c(F)cccc1N1CCCC1,4.631849462159818
COc1cc(NC(C)=O)ccc1/N=N/c1ccc(NC(C)=O)cc1OC,3.835056132145998
COc1ccc(N=Nc2ccc(OC)cc2N2CCCCC2)cc1,4.515343893088381
Cc1nn(C)c(C)c1N=Nc1ccccc1,5.954334735872656
Cc1noc(C)c1N=Nc1ccccc1N1CCOCC1,5.015694988526518
Cn1ccnc1N=Nc1ccccc1,4.510545010206612
Brc1ccccc1N=Nc1nccs1,4.413634997198556
CCCn1cc(/N=N/c2ccc(C(C)(C)C)cc2)c(=O)[nH]c1=O,5.846336736548107
COc1cccc(OC)c1/N=N/c1c(C)nn(C)c1C,6.9822882634755
O=[N+]([O-])c1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,3.597695185925512
Ic1ccncc1/N=N/c1ccccc1,5.6169999655392004
COc1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,6.0918497799439555
Cc1cnn(C)c1N=Nc1ccccc1,4.636705478389214
Cn1cccc1N=Nc1c(F)cccc1N1CCCCC1,4.720655356551724
Cc1nn(C)c(C)c1N=Nc1ccccc1N1CCOCC1,5.082641778157131
Fc1cc(F)c(N=Nc2c(F)cc(F)cc2F)c(F)c1,4.858462001572239
CCOC(=O)c1cc(F)c(/N=N/c2ccccc2)c(F)c1,4.401400548651035
Fc1cccc(F)c1/N=N/c1c(F)cccc1F,5.52009026380326
CN(C)c1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,4.78161178249315
CCCn1cc(N=Nc2ccc(C(C)(C)C)cc2)c(=O)[nH]c1=O,5.846244510114775
CCOC(=O)c1cc(F)c(/N=N/c2c(F)cccc2F)c(F)c1,5.033423718244518
Cc1cc(/N=N/c2ccccc2)c(C)n1C,5.498402780222932
Cc1n[nH]c(C)c1N=Nc1cccc(F)c1,5.092860943338818
CCOC(=O)c1cc(F)c(N=Nc2c(F)cc(C(=O)OCC)cc2F)c(F)c1,4.732301496147205
Cn1cc(/N=N/c2c(F)cccc2F)cn1,9.159584223669551
COc1ccc(N=Nc2c(F)cc(OC)cc2F)cc1,6.189770956346874
CCOC(=O)c1cc(F)c(/N=N/c2c(F)cc(C(=O)OCC)cc2F)c(F)c1,4.732393722580537
Cc1cn(C)nc1N=Nc1ccccc1,5.664734201989457
Fc1ccccc1/N=N/c1ccccc1F,4.597695599802512
Cn1cnc(N=Nc2ccccc2)c1,5.3167249841904995
COc1ccc(N=Nc2ccccc2)s1,4.0080889362915775
Cn1nccc1N=Nc1ccccc1,5.971593741314162
COc1ccc(N=Nc2c(F)cc(OC)cc2N2CCCC2)cc1,5.413634997198556
c1ccc(-c2noc(-c3ccccc3)c2N=Nc2ccccc2N2CCCC2)cc1,4.529430354366986
Cc1cc(N=Nc2ccccc2)c(C)n1C,5.504715466545888
Cc1n[nH]c(C)c1N=Nc1ccccc1F,4.182721837954694
Ic1ccncc1N=Nc1ccccc1,5.616907739105868
c1ccc(N=Nc2cccs2)cc1,4.405107201819091
CCOC(=O)c1ccc(N=Nc2c(F)cc(C(=O)OCC)cc2F)cc1,4.459300449643124
COc1ccc(N=Nc2ccc(OC)cc2F)c(F)c1,5.335898992025112
CCOC(=O)c1cc(F)c(N=Nc2c(F)cccc2F)c(F)c1,5.033331491811186
Cc1ccncc1N=Nc1ccccc1,5.5562100115319835
Cc1ccc(N=Nc2ccc(C#N)cc2)s1,4.10407720615511
c1ccc(N=Nc2nccs2)cc1,4.003460532109506
Fc1ccccc1N=Nc1nccs1,4.296665190261531
COc1cccc(OC)c1N=Nc1c(C)nn(C)c1C,6.982196037042168
COc1ccc(N=Nc2c(C)n[nH]c2C)cc1,4.861438819710926
Fc1cc(F)c(F)c(N=Nc2c(F)c(F)cc(F)c2F)c1F,4.9875742719221146
